                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.30175,                  0.253,                0.78837,                0.99933,                      1,                  0.995,                0.98352,                0.23018,                0.15529,                0.77214,             9.6302e-05,             9.6302e-05,             9.6302e-05
                     37,                0.30039,                 0.2478,                0.78647,                0.99942,                      1,                  0.995,                0.98404,                0.22871,                0.15471,                0.77188,             9.3939e-05,             9.3939e-05,             9.3939e-05
                     38,                0.30054,                0.24912,                0.78609,                0.99944,                      1,                  0.995,                0.98296,                0.23103,                0.15406,                0.77224,             9.1576e-05,             9.1576e-05,             9.1576e-05
                     39,                0.29757,                0.24753,                  0.786,                0.99937,                      1,                  0.995,                0.98412,                0.23093,                0.15322,                0.77222,             8.9214e-05,             8.9214e-05,             8.9214e-05
                     40,                0.29641,                0.24553,                0.78606,                0.99947,                0.99995,                  0.995,                0.98395,                0.22938,                0.15243,                0.77176,             8.6851e-05,             8.6851e-05,             8.6851e-05
                     41,                0.29377,                0.24092,                 0.7858,                 0.9994,                      1,                  0.995,                 0.9847,                0.22763,                0.15136,                0.77165,             8.4488e-05,             8.4488e-05,             8.4488e-05
                     42,                0.29239,                0.23752,                0.78479,                0.99952,                      1,                  0.995,                0.98409,                0.22807,                 0.1499,                0.77177,             8.2125e-05,             8.2125e-05,             8.2125e-05
                     43,                0.29055,                0.23768,                0.78472,                 0.9995,                      1,                  0.995,                0.98415,                0.22868,                0.14953,                0.77161,             7.9762e-05,             7.9762e-05,             7.9762e-05
                     44,                0.28984,                0.23515,                0.78474,                0.99951,                      1,                  0.995,                0.98578,                0.22487,                0.14885,                0.77128,               7.74e-05,               7.74e-05,               7.74e-05
                     45,                0.28695,                0.23264,                0.78474,                0.99952,                      1,                  0.995,                0.98491,                0.22573,                0.14758,                0.77143,             7.5037e-05,             7.5037e-05,             7.5037e-05
                     46,                0.28532,                0.22925,                 0.7844,                0.99941,                      1,                  0.995,                0.98643,                 0.2233,                0.14682,                0.77113,             7.2674e-05,             7.2674e-05,             7.2674e-05
                     47,                0.28344,                0.22875,                0.78352,                0.99946,                      1,                  0.995,                0.98598,                0.22413,                0.14697,                0.77107,             7.0311e-05,             7.0311e-05,             7.0311e-05
                     48,                0.28318,                0.22828,                0.78273,                0.99953,                      1,                  0.995,                0.98622,                0.22434,                0.14511,                 0.7712,             6.7948e-05,             6.7948e-05,             6.7948e-05
                     49,                0.28372,                0.22746,                0.78551,                0.99952,                      1,                  0.995,                0.98574,                0.22496,                 0.1449,                 0.7713,             6.5586e-05,             6.5586e-05,             6.5586e-05
                     50,                0.28163,                0.22545,                0.78543,                0.99952,                      1,                  0.995,                 0.9862,                0.22257,                0.14383,                0.77089,             6.3223e-05,             6.3223e-05,             6.3223e-05
                     51,                 0.2783,                0.22284,                0.78248,                0.99953,                      1,                  0.995,                0.98632,                0.22299,                0.14327,                0.77096,              6.086e-05,              6.086e-05,              6.086e-05
                     52,                0.27814,                0.22277,                0.78433,                0.99953,                0.99995,                  0.995,                0.98651,                0.22174,                0.14212,                0.77081,             5.8497e-05,             5.8497e-05,             5.8497e-05
                     53,                0.27796,                0.22032,                0.78353,                0.99953,                      1,                  0.995,                0.98607,                0.22265,                0.14218,                0.77095,             5.6134e-05,             5.6134e-05,             5.6134e-05
                     54,                0.27585,                0.21834,                0.78289,                0.99951,                      1,                  0.995,                0.98686,                 0.2214,                0.14168,                0.77087,             5.3772e-05,             5.3772e-05,             5.3772e-05
                     55,                0.27501,                 0.2192,                0.78408,                0.99957,                      1,                  0.995,                0.98657,                0.22147,                0.14091,                0.77077,             5.1409e-05,             5.1409e-05,             5.1409e-05
                     56,                0.27298,                0.21793,                 0.7836,                0.99956,                      1,                  0.995,                0.98635,                0.22117,                0.14101,                0.77061,             4.9046e-05,             4.9046e-05,             4.9046e-05
                     57,                 0.2729,                0.21679,                0.78334,                0.99953,                      1,                  0.995,                0.98669,                0.22078,                0.14038,                0.77053,             4.6683e-05,             4.6683e-05,             4.6683e-05
                     58,                 0.2707,                0.21476,                 0.7839,                0.99955,                      1,                  0.995,                0.98704,                0.22051,                 0.1398,                0.77052,              4.432e-05,              4.432e-05,              4.432e-05
                     59,                 0.2697,                0.21124,                0.78288,                0.99955,                      1,                  0.995,                0.98723,                0.22008,                0.13896,                 0.7705,             4.1958e-05,             4.1958e-05,             4.1958e-05
                     60,                0.26923,                0.21065,                 0.7823,                0.99954,                      1,                  0.995,                0.98701,                 0.2206,                0.13928,                0.77052,             3.9595e-05,             3.9595e-05,             3.9595e-05
                     61,                0.26707,                0.20979,                0.78175,                0.99959,                      1,                  0.995,                0.98745,                0.22031,                 0.1384,                 0.7704,             3.7232e-05,             3.7232e-05,             3.7232e-05
                     62,                0.26534,                0.20879,                0.78239,                0.99956,                      1,                  0.995,                0.98733,                0.21822,                0.13767,                0.77011,             3.4869e-05,             3.4869e-05,             3.4869e-05
                     63,                0.26657,                 0.2079,                0.78194,                0.99957,                      1,                  0.995,                0.98714,                  0.219,                0.13764,                0.77024,             3.2506e-05,             3.2506e-05,             3.2506e-05
                     64,                0.26301,                0.20515,                0.78057,                0.99958,                      1,                  0.995,                0.98736,                0.21862,                  0.137,                0.77022,             3.0144e-05,             3.0144e-05,             3.0144e-05
                     65,                0.26415,                0.20551,                0.78277,                0.99956,                      1,                  0.995,                0.98733,                0.21843,                0.13717,                0.77021,             2.7781e-05,             2.7781e-05,             2.7781e-05
